venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Harare Sports Club,2018,Pakistan,Australia,194,149,7,7,155.20000000000002,122.13114754098359,28,15,47,42,38,21,343,45,1,Pakistan
Harare Sports Club,2018,Zimbabwe,Australia,151,154,9,5,121.7741935483871,122.22222222222223,17,12,39,29,25,19,305,3,0,Australia
Harare Sports Club,2018,Australia,Pakistan,183,187,8,4,147.58064516129033,153.27868852459017,22,26,51,47,24,31,370,4,0,Pakistan
Buffalo Park,2018/19,South Africa,Zimbabwe,160,126,6,10,129.03225806451613,116.66666666666667,18,15,50,29,15,0,286,34,1,South Africa
Senwes Park,2018/19,Zimbabwe,South Africa,132,135,7,4,108.19672131147541,129.80769230769232,16,19,32,49,23,0,267,3,0,South Africa
Newlands,2018/19,South Africa,Pakistan,192,186,6,9,157.37704918032787,147.61904761904762,23,22,48,53,25,32,378,6,1,South Africa
The Wanderers Stadium,2018/19,South Africa,Pakistan,188,181,3,7,148.03149606299212,143.65079365079364,22,26,43,68,49,27,369,7,1,South Africa
SuperSport Park,2018/19,Pakistan,South Africa,168,141,9,9,132.28346456692915,112.79999999999998,21,17,45,23,31,25,309,27,1,Pakistan
Newlands,2018/19,Sri Lanka,South Africa,134,134,7,8,106.34920634920636,110.74380165289257,12,16,41,32,23,15,268,0,0,South Africa
SuperSport Park,2018/19,South Africa,Sri Lanka,180,164,3,9,145.16129032258064,132.25806451612902,21,24,39,47,35,39,344,16,1,South Africa
The Wanderers Stadium,2018/19,South Africa,Sri Lanka,198,137,2,10,159.6774193548387,129.24528301886792,27,16,36,52,39,0,335,61,1,South Africa
Mangaung Oval,2018,South Africa,Bangladesh,169,137,4,5,140.83333333333334,107.03125,26,14,44,42,38,22,306,32,1,South Africa
Mangaung Oval,2018,South Africa,Bangladesh,64,41,4,6,116.36363636363636,74.54545454545455,6,0,37,24,0,0,105,23,1,South Africa
North Sydney Oval,2018/19,New Zealand,Australia,162,164,5,4,128.57142857142858,147.74774774774775,23,27,34,48,37,7,326,2,0,Australia
Allan Border Field,2018/19,New Zealand,Australia,145,149,8,4,115.07936507936508,130.70175438596493,17,20,50,41,12,16,294,4,0,Australia
Manuka Oval,2018/19,New Zealand,Australia,103,105,10,1,87.28813559322035,132.91139240506328,7,18,28,36,12,0,208,2,0,Australia
Carrara Oval,2018/19,South Africa,Australia,108,87,6,7,168.75,135.9375,13,9,63,46,0,0,195,21,1,South Africa
"Brisbane Cricket Ground, Woolloongabba",2018/19,Australia,India,158,169,4,7,147.66355140186914,152.25225225225225,17,21,38,52,0,0,327,11,0,India
Sydney Cricket Ground,2018/19,Australia,India,164,168,6,4,128.125,136.58536585365854,21,20,45,64,34,29,332,4,0,India
YMCA Cricket Club,2018,Ireland,New Zealand,136,142,8,0,107.93650793650794,208.82352941176472,17,26,30,65,18,0,278,6,0,New Zealand
YMCA Cricket Club,2018,Ireland,Bangladesh,134,135,8,6,109.8360655737705,108.0,16,17,44,32,19,24,269,1,0,Bangladesh
"The Village, Malahide, Dublin",2018,Ireland,Bangladesh,124,125,8,6,99.2,103.30578512396693,14,15,23,41,19,15,249,1,0,Bangladesh
"Pembroke Cricket Club, Sandymount",2018,Bangladesh,Ireland,151,152,4,4,118.8976377952756,122.58064516129032,18,19,44,27,33,25,303,1,0,Ireland
"Warner Park, Basseterre",2018,Bangladesh,West Indies,143,93,9,3,113.4920634920635,163.1578947368421,17,13,43,45,11,0,236,50,1,Bangladesh
Central Broward Regional Park Stadium Turf Ground,2018,Bangladesh,West Indies,171,159,5,9,140.1639344262295,123.25581395348837,23,19,34,47,23,25,330,12,1,Bangladesh
Central Broward Regional Park Stadium Turf Ground,2018,Bangladesh,West Indies,184,135,5,7,144.88188976377953,125.0,23,15,71,28,30,0,319,49,1,Bangladesh
Sportpark Maarschalkerweerd,2018,Thailand,Ireland,92,93,7,3,73.01587301587301,90.29126213592234,7,9,21,31,11,0,185,1,0,Ireland
VRA Ground,2018,Uganda,Scotland,43,47,10,1,43.87755102040816,111.90476190476191,1,7,10,33,0,0,90,4,0,Scotland
Sportpark Maarschalkerweerd,2018,Netherlands,United Arab Emirates,137,138,3,4,111.3821138211382,111.29032258064515,14,16,37,24,24,22,275,1,0,United Arab Emirates
